attack,target,asr
NAA-layer1,resnet50(白盒),100.0
NAA-layer1,resnet18,100.0
NAA-layer1,vgg16,100.0
NAA-layer1,densenet121,100.0
NAA-layer1,mobilenet_v2,98.00000190734863
NAA-layer1,inception_v3,100.0
NAA-layer1,convnext_tiny,83.99999737739563
NAA-layer1,swin_t,72.00000286102295
NAA-layer1,vit_b_16,80.0000011920929
NAA-layer2,resnet50(白盒),100.0
NAA-layer2,resnet18,100.0
NAA-layer2,vgg16,100.0
NAA-layer2,densenet121,95.99999785423279
NAA-layer2,mobilenet_v2,98.00000190734863
NAA-layer2,inception_v3,98.00000190734863
NAA-layer2,convnext_tiny,81.99999928474426
NAA-layer2,swin_t,62.00000047683716
NAA-layer2,vit_b_16,74.00000095367432
NAA-layer3,resnet50(白盒),100.0
NAA-layer3,resnet18,95.99999785423279
NAA-layer3,vgg16,98.00000190734863
NAA-layer3,densenet121,95.99999785423279
NAA-layer3,mobilenet_v2,95.99999785423279
NAA-layer3,inception_v3,98.00000190734863
NAA-layer3,convnext_tiny,81.99999928474426
NAA-layer3,swin_t,62.00000047683716
NAA-layer3,vit_b_16,54.00000214576721
NAA-layer4,resnet50(白盒),100.0
NAA-layer4,resnet18,98.00000190734863
NAA-layer4,vgg16,100.0
NAA-layer4,densenet121,98.00000190734863
NAA-layer4,mobilenet_v2,98.00000190734863
NAA-layer4,inception_v3,93.99999976158142
NAA-layer4,convnext_tiny,83.99999737739563
NAA-layer4,swin_t,50.0
NAA-layer4,vit_b_16,51.99999809265137
MIFGSM,resnet50(白盒),100.0
MIFGSM,resnet18,100.0
MIFGSM,vgg16,100.0
MIFGSM,densenet121,100.0
MIFGSM,mobilenet_v2,100.0
MIFGSM,inception_v3,100.0
MIFGSM,convnext_tiny,87.99999952316284
MIFGSM,swin_t,69.9999988079071
MIFGSM,vit_b_16,72.00000286102295
